fund_name,aic,shapiro_p,ljungbox_p,runs_p,pass_all
TAS Fixed Income Arbitrage - Class H (USD),123.66606718789308,0.8772084834361658,0.3205820224022066,1.0,True
Gabelli Associates Fund LP,193.83232176930895,0.5136691941900402,0.6950620538885343,1.0,True
Gabelli Associates Fund II LP,194.89432211451995,0.8413686554234358,0.44813303458472553,0.5464731290798559,True
Victory Arcadia Fund Class A USD,200.19156828429973,0.5366875893724449,0.7524814569871101,0.5464731290798559,True
Aurum Isis Standard Sterling Restricted,202.06538623567909,0.8838166952379096,0.24734986943462825,0.15939040677403393,True
Aurum Isis Standard Swiss Franc Restricted,202.49010759096765,0.6582078295121077,0.12237690822548127,0.3576984423585343,True
Victory Arcadia Fund Class C EUR,203.3665626439704,0.4375496571157287,0.5698587999968654,0.5464731290798559,True
Aurum Isis Standard Dollar Restricted,203.6257046535425,0.5767537549091379,0.29327215012730856,0.5464731290798559,True
Aurum Isis Standard Euro Restricted,203.73458207599168,0.7946870126035929,0.152507269726889,0.5464731290798559,True
Victory Arcadia Fund Class B GBP,203.97016773434467,0.22223904256103694,0.585465508948387,0.8406846414712399,True
