fund_name,aic,shapiro_p,ljungbox_p,runs_p,pass_all
"The Rama Fund, LLC",-284.79255136361985,0.0018523581165708779,0.890004739104175,0.6876577997456863,False
"Weaver Arbitrage Partners, L.P.",82.31325080420362,0.008247684840414026,0.4740456247272886,0.4166079797081017,False
"W Financial Fund, L.P. Class B",84.39484006421385,7.561423147825083e-20,0.8497337792267708,0.005469071868221098,False
TAS Fixed Income Arbitrage - Class H (USD),123.66606718789308,0.8772084834361658,0.3205820224022066,1.0,True
"Symphony Rhapsody Fund, L.P.",151.56532597087372,0.5653717686090334,0.019358428451242624,0.5464731290798559,False
MB Dislocation Opportunity Fund,172.8313878520584,6.464236997660932e-05,0.6678319693415192,0.027022267193961058,False
SSI Hedged Convertible Income Strategy,181.92426396559037,0.021022871148117662,0.7314539773273278,0.31485395233775604,False
Gabelli Associates Fund LP,193.83232176930895,0.5136691941900402,0.6950620538885343,1.0,True
Gabelli Associates Fund II LP,194.89432211451995,0.8413686554234358,0.44813303458472553,0.5464731290798559,True
Victory Arcadia Fund Class A USD,200.19156828429973,0.5366875893724449,0.7524814569871101,0.5464731290798559,True
Aurum Isis Standard Sterling Restricted,202.06538623567909,0.8838166952379096,0.24734986943462825,0.15939040677403393,True
Aurum Isis Standard Swiss Franc Restricted,202.49010759096765,0.6582078295121077,0.12237690822548127,0.3576984423585343,True
Victory Arcadia Fund Class C EUR,203.3665626439704,0.4375496571157287,0.5698587999968654,0.5464731290798559,True
Aurum Isis Standard Dollar Restricted,203.6257046535425,0.5767537549091379,0.29327215012730856,0.5464731290798559,True
Aurum Isis Standard Euro Restricted,203.73458207599168,0.7946870126035929,0.152507269726889,0.5464731290798559,True
Victory Arcadia Fund Class B GBP,203.97016773434467,0.22223904256103694,0.585465508948387,0.8406846414712399,True
"Pine Grove Partners, L.P. - Class C",211.7298941496702,0.7530411450982287,0.9286032836855201,0.8406846414712399,True
"Waterfall Victoria Fund, L.P.",213.26366716112565,1.726017315203017e-05,0.7342541679572768,0.31485395233775604,False
Pine Grove Institutional Partners L.P. - Class C,215.2467435386442,0.2014799004931509,0.9414463850638459,0.6876577997456863,True
"Waterfall Victoria Fund, Ltd",215.86178740220075,1.5226492513609036e-05,0.9669179556409603,0.07042609327631655,False
Pine Grove Offshore Fund Ltd. Class C Shares,217.90552065610623,0.17819153319949654,0.9243781275475154,0.6876577997456863,True
Absolute Focus Fund Limited Class A,220.6225667186248,0.07099519282056126,0.6463646560818126,0.6876577997456863,True
"Yakira Partners, L.P.",222.47520277728356,0.08465695916337974,0.5192325528638875,0.8406846414712399,True
Absolute Focus Fund Limited Class B,225.91778459149668,0.036982805680299005,0.6412017995665846,1.0,False
Southpaw Credit Opportunity Fund (FTE) Ltd.,226.37684292979472,0.02598896514363503,0.7010011224705205,0.15939040677403393,False
Sycomore L/S Market Neutral Class I EUR,233.74202108726584,0.3486167231294246,0.9256633043872681,0.5423653206245738,True
"Aurum Managed Euro Portfolio, Ltd.",237.88402804262577,0.23485167691472986,0.9637443237784616,0.5464731290798559,True
