fund_name,type,order,aic,residuals
"The Rama Fund, LLC",Hedge Fund,"(1, 0, 1)",-284.79255136361985,"[ 0.03711351 -0.00950273  0.04445235  0.05313268  0.03140737  0.04602261
  0.00782884  0.02872392 -0.00502555 -0.10113225  0.04361902 -0.02467502
  0.0124249   0.01102765  0.02001122  0.00708477  0.02714183  0.05280994
  0.04309703  0.03602769  0.01088238 -0.01848923 -0.00147187 -0.01855102
  0.00794822 -0.0016947  -0.01924814  0.05690589 -0.00392159 -0.00086896
  0.00135287  0.01297    -0.02803964 -0.02002786  0.03580344 -0.01088561
  0.16299248 -0.04135814  0.15081334  0.00031233 -0.0756476   0.01478621
 -0.02564786 -0.08721715  0.02422569 -0.0798473  -0.01094517 -0.03812075
  0.01049497  0.00801919 -0.00378279 -0.00290767 -0.05227073 -0.06087383
  0.06179461 -0.01303805 -0.0307139  -0.06464897  0.00851198  0.03497109
 -0.01416611  0.01793012 -0.02710414  0.07797836 -0.060189   -0.117172
  0.03760892  0.02721888  0.01965659 -0.00584755  0.16451964 -0.05238635
 -0.04988811 -0.01860473  0.04523445  0.06490879  0.00083337 -0.16847798
 -0.01080351 -0.09962244  0.04091713 -0.12037327  0.07420904 -0.0450722
  0.00276074 -0.01028477 -0.01031475  0.00966342 -0.06472579 -0.0426138
 -0.04598487 -0.0589734  -0.07949685 -0.03603945 -0.0128046  -0.03482346
  0.16808045  0.06646081 -0.03071168  0.02428278]"
"Weaver Arbitrage Partners, L.P.",Hedge Fund,"(0, 0, 0)",82.31325080420362,"[-0.2038 -0.1738 -0.0438 -0.3738 -0.2338 -0.2538 -0.3238  0.8062 -0.4638
 -0.3238  0.2362 -0.1138 -0.2138 -0.3938  0.0262 -0.4838 -0.3138  0.1062
 -0.5138  0.2762  0.1662  0.3362 -0.0738  0.0862 -0.1738 -0.1838  0.2262
 -0.2738  0.0762  0.0262  0.1162  0.0262  0.2462 -0.0538 -0.5138  0.2662
 -0.0038 -0.2038 -0.1138 -0.2038 -0.2838  1.1262 -0.3638 -0.3438  0.2062
 -0.1838 -0.5538  0.2262 -0.0138 -0.4038 -0.5638 -1.0638  0.4162  0.0662
  0.5162  0.2162  1.0662  0.0062  0.2562 -0.8438 -0.1238 -0.2038 -0.1538
  0.0062  0.2962 -0.0738  0.7762  0.9462  0.0162  0.6862 -0.0438  0.2462
 -0.0038 -0.2238  0.1662 -0.1738  0.4262 -0.0738 -0.1238 -0.3538  0.0562
  0.2262  0.3862  0.0562  0.3062 -0.4238 -0.0338  0.1262 -0.1638  0.0462
 -0.1438  0.1762 -0.0938  0.1662  0.0562  0.3262  0.0362  0.3862  0.1462
  0.0662]"
"W Financial Fund, L.P. Class B",Hedge Fund,"(0, 0, 0)",84.39484006421385,"[-1.48800000e-01 -2.68800000e-01 -1.88800000e-01 -1.68800000e-01
 -2.08800000e-01 -1.58800000e-01 -1.88800000e-01 -5.48800000e-01
 -1.58800000e-01 -2.48800000e-01  4.12000005e-02 -5.87999995e-02
 -1.87999995e-02  4.12000005e-02 -8.87999995e-02  1.31200000e-01
 -1.98800000e-01  3.43120000e+00 -7.87999995e-02  6.12000005e-02
 -2.87999995e-02 -1.18800000e-01 -2.87999995e-02 -7.87999995e-02
 -1.68800000e-01 -5.87999995e-02 -1.38800000e-01 -1.68800000e-01
  3.12000005e-02  1.20000050e-03  5.12000005e-02  6.12000005e-02
  1.12000005e-02 -7.87999995e-02 -5.87999995e-02  1.20000050e-03
  1.20000050e-03  1.20000050e-03  3.12000005e-02  1.12000005e-02
 -1.48800000e-01  4.12000005e-02  1.01200000e-01  1.20000050e-03
  1.20000050e-03  1.12000005e-02  1.01200000e-01 -4.87999995e-02
  1.20000050e-03  6.12000005e-02 -6.87999995e-02  3.12000005e-02
  4.21200000e-01  2.12000005e-02 -7.87999995e-02  9.12000005e-02
  6.12000005e-02 -1.87999995e-02  5.12000005e-02  1.12000005e-02
  3.12000005e-02  1.31200000e-01 -4.87999995e-02 -1.28800000e-01
 -1.98800000e-01 -8.79999950e-03 -3.87999995e-02  5.12000005e-02
  7.12000005e-02 -7.87999995e-02  8.12000005e-02 -8.79999950e-03
  1.12000005e-02 -1.87999995e-02  4.12000005e-02  1.12000005e-02
  1.12000005e-02  1.12000005e-02 -8.79999950e-03 -3.87999995e-02
 -1.87999995e-02 -3.87999995e-02  1.12000005e-02 -8.79999950e-03
  2.12000005e-02 -3.87999995e-02  3.12000005e-02  1.21200000e-01
 -7.87999995e-02 -6.87999995e-02 -1.38800000e-01 -6.87999995e-02
 -6.87999995e-02 -1.38800000e-01 -4.87999995e-02 -1.87999995e-02
 -6.87999995e-02 -5.87999995e-02  1.20000050e-03 -8.87999995e-02]"
TAS Fixed Income Arbitrage - Class H (USD),Fund of Funds,"(2, 0, 0)",123.66606718789308,"[-0.10617416  0.90271592 -0.3125819   0.40011665  0.67602529 -0.17276655
  0.20509712 -0.16860168  0.71702425  0.33254625 -0.29770411  0.65283021
 -0.08335352 -0.51915123  0.2802041   0.31355596  0.34455304 -0.32075131
  0.1622405   0.07435336 -0.01295864 -0.14696507 -0.1805018   0.2189256
  0.07622388 -0.73183692  0.81772907  0.42802384  0.04658374 -0.34554077
  0.12220331  0.50046653  0.43679987  0.27919778  0.37932307  0.06102879
 -0.14484288 -1.16934521  0.3710543   0.3630199  -0.06424855 -0.00647826
  0.22517886  0.10193033 -0.01460435 -0.09759428 -0.22393564 -0.31594625
  0.13485916 -0.06899576  0.01650827 -0.48115109  0.63149062 -0.82869044
 -0.15047984  0.19687483  0.48125483  0.08275055  0.27618735 -0.61695026
  0.14414482 -0.74330939 -0.27309115 -0.59974564 -0.98462363 -0.10831484
  0.14008848 -0.80328469 -0.01851617 -0.38231976 -0.14493083  0.77078406
 -0.1533003  -0.17200214  0.0084445   0.02410805  0.05156543  0.0791538
  0.71777008  0.66637308 -0.35540298  0.08352239 -0.50726086 -0.18084663
 -0.03574153 -0.31955398  0.08958861 -0.43761204 -0.26391094  0.22479048
 -0.59926346  1.12603476  0.77607663 -0.24077875 -0.56552639 -0.02453675
  0.35907942 -0.87909188 -0.23345265 -0.15907354]"
"Symphony Rhapsody Fund, L.P.",Hedge Fund,"(1, 0, 0)",151.56532597087372,"[-1.64153783e+00  5.63142419e-01  7.86641094e-01  9.74319193e-01
  3.34643121e-01  1.41587430e+00 -5.26750019e-01  7.56317166e-01
  1.08009675e+00  7.95895811e-01 -2.86609568e-01 -9.41472143e-02
  1.12256683e-01 -8.42268181e-01  3.60982481e-01 -1.00101549e+00
 -9.62097245e-02 -8.16188212e-01 -4.26136216e-02  2.27407891e-01
  4.18984508e-01  2.81025506e-01 -2.32570597e-01 -1.98369662e-01
 -7.37278937e-01  7.39522397e-02  5.44600097e-01 -3.30349771e-02
 -3.22681807e-02  1.81165958e-01 -3.73358906e-01 -2.23844798e-01
 -8.75039837e-04 -2.14773559e-01  5.27210631e-02  9.78822544e-01
  1.19167985e-01 -1.20319694e+00  9.81284897e-01 -2.19903254e-01
  2.30539613e-01  8.72674390e-02 -2.63985250e-01 -3.17278937e-01
  1.15528857e-01  4.81792303e-01 -3.86004735e-01  6.22094719e-01
  3.07591367e-01 -2.74287666e-01 -1.33942013e-03  1.81961996e-02
 -7.93520870e-01 -2.06047760e-01 -2.29784315e-01 -6.86188212e-01
  5.66921998e-01 -2.57059676e-03  9.77318193e-02  2.30701578e-01
 -3.82106216e-01 -5.06188212e-01 -1.45259452e-01  7.44381324e-02
 -3.63520870e-01  5.63185443e-01 -8.83661322e-01 -6.40734588e-01
  2.10982481e-01 -3.45864284e-01 -3.15013844e-02  4.64600097e-01
 -5.42876661e-02  4.37105475e-01  3.23368920e-01 -2.71944252e-01
 -4.81339420e-01 -5.93199347e-02 -3.18996006e-01 -2.68145566e-02
  2.04600097e-01 -4.93358906e-01  1.74276168e-01 -4.57581353e-01
 -3.68067246e-01  8.18962996e-01 -1.07559841e-01 -2.52379391e-02
  5.01165958e-01  1.81651851e-01  2.85201281e-02  2.15388405e-01
  4.62580611e-01  7.69650229e-02  1.19542667e-02  8.47620609e-02
 -5.34611595e-01  2.28336651e-01 -2.76955008e-01  2.77407891e-01]"
MB Dislocation Opportunity Fund,Fund of Funds,"(1, 0, 0)",172.8313878520584,"[-1.71140273 -0.11067943  0.57597203 -0.19475093  1.08806109  0.61821331
 -0.04091149  1.02874984  0.60048881  0.55505122 -0.48056142  0.15507403
  0.43103674 -0.72107513  0.00526047 -2.30263907 -1.70680577  1.47899331
 -0.15018853  0.03823613  1.14911132  0.44926354 -0.0568742  -0.2468628
 -0.6959762   0.25807249  0.39349868  0.23734953  0.37787464  0.10436247
 -0.46230039  0.94192334  0.35137541 -0.2791497   0.25507403  0.41191193
  0.50418743 -1.30388715  0.66123459 -0.63387574  0.73964784 -0.08651272
  0.69559914  0.42102533 -0.08371211  0.62699945 -0.00388715 -0.07738791
  0.17524907  0.1062993  -0.60878822  0.1149104  -0.04685139 -0.38667635
  0.07543551 -0.37193891 -0.62456449  0.70193474 -0.18317559  0.14893628
 -0.21457589 -0.19702643 -0.17807666 -0.20842674 -0.34386433  0.10473536
 -0.10702643  0.61771101 -0.88107513 -0.59613983  0.36140963 -0.2114138
  0.09209838 -0.3959762   0.13069807  0.04367372  0.14437388 -0.31440086
 -0.0028141  -0.15176387 -0.04755155  0.36297357 -0.47317559  0.24139822
 -0.09001349  0.19384876  0.20577418 -0.40317559  0.28701086 -0.12931334
 -0.26615124  0.1217483   0.25911132 -0.40352566  0.34683582 -0.11387574
  0.07419884 -0.05510101 -0.02088868  0.1540238 ]"
SSI Hedged Convertible Income Strategy,Hedge Fund,"(0, 0, 1)",181.92426396559037,"[-1.86559482  0.63404654  1.24293233  0.41082758  0.83669143  0.89599867
 -1.03159022  0.77369009  0.51225767  0.63175214 -0.48120151  0.30812525
 -0.09367248 -0.23841758 -0.13006571 -1.65620322  0.26534537 -0.31756065
 -0.54175699  0.37509162  1.10545064  0.38964222 -0.25343098  0.0190985
 -0.40725248  0.43299057  0.09010934  0.35940277  0.22502706 -0.08295051
 -0.10496214  0.08847368  0.74040117 -0.42753295  0.49536969  0.25203336
 -0.03943505 -1.37152382  0.84157821 -0.85929103  0.69891323 -0.25220886
 -0.10164748 -0.19354958  0.24254712  0.22635532 -0.32376127  0.37202785
  0.06732076 -0.36668717 -0.09177034 -0.14957855 -1.07429263 -0.5598506
  0.1461359  -0.96479563  0.47331284 -0.07450322 -0.02011834  0.49668533
 -0.2587697  -0.78764276 -0.42482061 -0.8462859  -0.04902506  0.39432989
 -0.99629232 -0.7674617  -1.49713906  0.61825329  1.27702567  0.96491346
 -0.03457441  0.42550927  0.8546759   0.30271418 -0.26037044  0.20333432
 -0.60970934  0.35656949  0.52675649 -0.27712502  0.19356126  0.0962561
 -0.07434919  0.32978765  0.24310402 -0.29398462  0.45385229 -0.17262457
  0.05977457 -0.142081    0.13113089 -0.09563663 -0.10721858  0.229851
 -0.28589502 -0.04108557 -0.12051635  0.2879679 ]"
Gabelli Associates Fund LP,Hedge Fund,"(1, 0, 2)",193.83232176930895,"[-0.67473726 -0.05176835  0.39631797  1.03881944  0.98627445  0.1602106
 -0.12061801 -0.16361261  0.16263235  0.07228338  0.02005192  0.2099088
  0.01537627 -0.17296754 -0.74193217 -0.59099377 -0.96237365  0.99941101
 -0.15284482  0.25160053  0.33943941  0.70978929 -0.23551926 -0.50608168
 -1.28136464  0.0239257  -0.53061115  0.01366825 -0.61636761 -1.76214377
  0.42500483  1.27344145 -0.49828613  0.31521156  0.01992355  0.46633384
  0.18951891  0.0793284   0.3636823  -0.11326142  0.39618829 -0.06874886
 -0.23788937 -0.1664266  -0.20243836  0.38213258 -0.5342355  -0.30077109
  0.28859352  0.63944148 -0.66121142 -0.12748627 -1.13583214 -0.8363836
  0.24773581  0.18505977 -0.38364653  1.05486905  0.0524705   0.26189557
  0.36024441 -0.31344834 -0.71537638 -1.13602661 -1.43259499  1.27194176
 -0.28770201  0.87111466  0.2681399   0.40250887  0.83920778 -0.42671588
  0.51040414 -0.40063448  0.06474251  0.34109982  0.70704963 -0.9858436
  1.12505239  0.37728785 -0.97230635  0.27702347 -0.20622455  0.78591322
  0.15559425  0.62488834 -0.16543189 -0.39733484 -0.1726683   0.1356518
 -0.97077182  0.23483144  0.34299719 -0.23690531  0.37354793 -0.89831505
  0.91510579  0.70227964 -0.33091401  0.01821775]"
Gabelli Associates Fund II LP,Hedge Fund,"(0, 0, 0)",194.89432211451995,"[-0.7079  0.0721  0.5221  0.8721  0.7321 -0.0979 -0.1879 -0.0979  0.2521
  0.0521 -0.0179  0.2321 -0.0779 -0.1479 -0.6979 -0.4079 -0.6579  1.1421
 -0.0379 -0.0079  0.6321  0.5321 -0.1579 -0.7179 -0.9679  0.1821 -0.2379
 -0.0779 -0.3479 -1.8179  0.8021  1.3721 -0.8879  0.3421  0.1421 -0.1679
  0.2821 -0.1179  0.4021 -0.1779  0.4121 -0.0479 -0.2679  0.0121 -0.1679
  0.4321 -0.5279 -0.3079  0.4621  0.5721 -0.7379 -0.1579 -0.8479 -0.7679
  0.6521  0.1321 -0.5179  1.0821  0.0521  0.0121  0.4921 -0.5679 -0.6279
 -0.9779 -1.1479  1.4521 -0.1879  0.4421  0.5521  0.0321  1.0221 -0.6779
  0.5521 -0.3379 -0.0179  0.4721  0.5321 -1.0079  1.0821  0.6221 -1.3879
  0.6521 -0.1479  0.7821  0.2421  0.4621 -0.0679 -0.5779  0.0721  0.1721
 -0.8979  0.3321  0.5621 -0.5079 -1.0779 -0.9079  1.0021  0.8421 -0.6979
  0.2321]"
Victory Arcadia Fund Class A USD,Hedge Fund,"(1, 0, 1)",200.19156828429973,"[ 7.13528286e-01  4.61871930e-01 -5.10149267e-01  5.76616221e-02
  9.00434219e-01 -3.42232862e-01 -7.44112262e-01 -1.03795253e-01
 -1.27362840e+00 -1.21894551e+00  1.41749952e+00 -3.94810084e-01
  3.37990727e-01 -1.18016768e-01  3.67137680e-01  7.74002452e-02
  2.12549672e-01  1.80894744e+00  5.26630142e-01 -1.34067058e+00
  6.69813935e-02 -7.61618764e-01 -2.30509179e-01 -2.96984989e-01
 -1.30257424e-01 -7.15465770e-01  5.77349347e-01 -9.67265727e-01
  2.66114532e-01  1.46261544e-01 -7.95692005e-02  4.24752495e-01
  1.61328625e+00 -8.53803565e-01 -7.15769038e-02  1.28387391e-01
  1.37523083e-01  5.65558007e-01  2.91573738e-01  1.50106471e-01
  7.12124048e-01 -9.19312555e-01 -3.72081053e-01 -2.74742573e-01
  2.19401075e-01 -1.95866302e-01  2.40281082e-01 -4.20227633e-01
 -6.05421956e-01  2.61446273e-02 -3.77886332e-01  1.02628146e-02
  3.79045920e-02  4.39401578e-01 -3.16919186e-01  5.18564303e-01
 -3.16694771e-01 -1.36210919e-03  2.55713942e-01  5.39711270e-01
  2.89216830e-01  8.86774294e-01 -7.39465301e-01  6.74401465e-01
  1.21570336e+00 -8.24769827e-01  5.42851925e-01 -2.33793582e-01
  1.32184923e+00  1.30076753e+00  7.42060286e-01 -2.14668973e-01
 -1.96717718e-01  4.15221641e-01 -7.01998491e-02 -1.26154086e-01
  1.51849464e-01 -7.41192795e-02 -9.78634611e-01 -7.96863188e-01
  8.07602570e-01 -4.20293524e-01 -1.14995127e-01  2.38714151e-01
 -5.48610394e-01  1.62586402e-01 -9.19246569e-02  4.38295131e-02
  3.04923493e-01 -5.94238664e-01 -6.45939959e-01  5.38970366e-01
 -7.55377562e-02  1.02727471e-01  6.43507166e-02 -5.48732218e-01
 -1.32443743e-01 -5.68992156e-01 -3.48358655e-01 -1.77061177e+00]"
