fund_name,aic,shapiro_p,ljungbox_p,runs_p,pass_all
A.R.T. Absolute Return Target Fund F Equity Strategy (USD),332.8122506871497,0.0016366111709489434,0.8090608094945084,0.2277762709715887,False
Absolute Focus Fund Limited Class A,220.6225667186248,0.07099519282056138,0.6463646560818126,0.6876577997456863,True
Absolute Focus Fund Limited Class B,225.91778459149668,0.036982805680299005,0.6412017995665843,1.0,False
Absolute Return Multi-Strategy I LP,281.2714094342869,0.03349730741994031,0.6488370892504811,0.8406846414712399,False
ACPI Balanced UCITS Fund USD R,445.77830196816234,0.10032527247943457,0.268852195811093,0.6876577997456863,True
Albatross Arbitrage Opportunity Fund CHF,265.6723524586317,0.34004523980910434,0.4921208657400651,0.5464731290798559,True
Albatross Arbitrage Opportunity Fund EUR,237.01408441968897,0.021540653049417772,0.6937660243741585,0.5464731290798559,False
Albatross Arbitrage Opportunity Fund USD,265.3875009672571,0.04605131965729379,0.7506137823140916,0.04441233364526065,False
Albatross Worldwide Equity Fund CHF,464.83196023584446,0.00803979266880843,0.8810616880213866,0.027022267193961058,False
Albatross Worldwide Equity Fund EUR,461.9343335725456,0.005314092724277943,0.865480383309861,0.07042609327631655,False
Albatross Worldwide Equity Fund USD,470.90718091043044,0.010762348643610926,0.8590813015071996,0.07042609327631655,False
AllianzGI Global Allocation Fund Class A,388.4966356793244,0.00010846645807739461,0.9101331585343888,0.31485395233775604,False
Alphanatics Fund (A - EUR),221.61960355245893,0.26869512976327714,0.8317841883798605,0.2277762709715887,True
Alphanatics Fund (B - CHF),225.70438002192643,0.22826649191006243,0.8497297474325503,0.2277762709715887,True
Alphanatics Fund (D - JPY),221.4164556005932,0.027115248895481225,0.9204653297298941,0.421355814012109,False
Alphanatics Fund (E - USD),231.07357702679505,0.18442200690660593,0.9009770187397844,0.421355814012109,True
Alternative Investment Partners Absolute Return Fund,290.3040843913833,0.13820147623038465,0.9789806349134946,0.5464731290798559,True
Alternative Investment Partners Absolute Return Fund STS,290.334490631377,0.045927212224050294,0.9674943967355625,0.008969049061947842,False
"Alternative Investments Institutional, L.P.",346.31562658256007,0.12344612094136398,0.9201469467886176,0.027022267193961058,False
"Alternative Investments Institutional, Ltd.",344.32466259398456,0.12507649661916898,0.9158240039902397,0.027022267193961058,False
"Alternative Investments International, L.P.",382.7539045399256,0.019842820801495863,0.9136030672898285,1.0,False
Alternative Investments L.P.,346.77176802432865,0.041387078070034194,0.9168859471525149,0.421355814012109,False
AMC Alternative Fund -BCV Multi-Strategy Fund (EUR) A,363.94846524603645,0.2143696857072585,0.7821869191860735,0.6876577997456863,True
AMC Alternative Fund -BCV Multi-Strategy Fund (EUR) B,364.2424447481734,0.12682156775038994,0.7753482189547037,0.6876577997456863,True
AMC Alternative Fund -BCV Multi-Strategy Fund (USD) A,370.7724080680513,0.24629341267968824,0.5253023979718094,0.421355814012109,True
AMC Alternative Fund -BCV Multi-Strategy Fund (USD) B,368.2562905417262,0.1673185775518446,0.3760574203178851,0.8406846414712399,True
AMC Alternative Fund -BCV Multi-Strategy Fund - (CHF) A,372.33173531921443,0.187814233514838,0.33320150059383186,0.6876577997456863,True
AMC Alternative Fund -BCV Multi-Strategy Fund - (CHF) B,369.06757484634704,0.2529959437271219,0.322118389664114,0.8406846414712399,True
AMC Alternative Fund -BCV Multi-Strategy Fund - (CHF) C,370.5421322240779,0.011227445267288633,0.8917153196060229,0.421355814012109,False
"American Selection Holdings S.A., SICAV-FIAR",362.3805308091147,0.006321867764301517,0.6915744828649585,0.10780396285509863,False
"Arden Alternative Advisers, SPC USD",280.1434489647332,0.0058697226974649035,0.13874324403870764,0.2277762709715887,False
"Atrevida Multi-Strategy Master Fund, L..P.",310.62091056414033,0.1254254665362189,0.8795741793197693,0.10780396285509863,True
"Atrevida Multi-Strategy Offshore Fund, LP",309.1680238741749,0.04183648234815969,0.735441901031068,0.2277762709715887,False
Aurum Fortress Fund Ltd.,266.37093613914317,0.22698169157796572,0.834848734910816,0.26104838073122183,True
Aurum Investor Standard Dollar Restricted,247.7046885156102,0.0028233229564213437,0.9284463820991741,0.6876577997456863,False
Aurum Investor Standard Euro Restricted,278.9120341731631,0.10565953992541022,0.8848975732582419,0.8390724840729129,True
Aurum Investor Standard Sterling Restricted,245.6676114403162,0.002758807325935996,0.8941944436059562,0.6876577997456863,False
Aurum Isis Standard Dollar Restricted,203.6257046535425,0.5767537549091055,0.2932721501273081,0.5464731290798559,True
Aurum Isis Standard Euro Restricted,203.73458207599168,0.7946870126035929,0.1525072697268893,0.5464731290798559,True
Aurum Isis Standard Sterling Restricted,202.06538623567909,0.8838166952379096,0.24734986943462825,0.15939040677403393,True
Aurum Isis Standard Swiss Franc Restricted,202.49010759096765,0.6582078295121077,0.12237690822548127,0.3576984423585343,True
"Aurum Managed Dollar Portfolio, Ltd.",240.59868586930304,0.3304826036242652,0.9910345770030661,0.8406846414712399,True
"Aurum Managed Euro Portfolio, Ltd.",237.88402804262577,0.23485167691472986,0.9637443237784616,0.5464731290798559,True
"Aurum Managed Sterling Portfolio, Ltd.",240.61804047927694,0.3210372432737068,0.9741753728523771,0.68462500549865,True
Aurum Multi Strategy Standard Dollar Restricted,247.80586258245182,0.1718725676551014,0.9656736028291304,0.8406846414712399,True
Aurum Multi Strategy Standard Euro Restricted,245.8169271052796,0.25802192016764,0.9232411667303517,0.5464731290798559,True
Aurum Multi Strategy Standard Sterling Restricted,247.53346829772315,0.20316128130429512,0.9491686243101586,0.31485395233775604,True
Aurum Synchronicity Dollar Fund Ltd,232.61486648179883,0.002311001239539559,0.9372480486185285,0.8406846414712399,False
Aurum Synchronicity Euro Fund Ltd.,232.99273419109613,0.0010723457890227878,0.9255102506364391,0.5464731290798559,False
"Bodleian Partners A, L.P.",332.1421507599449,0.406212343670361,0.4477400515046782,0.6876577997456863,True
"Bodleian Partners B, L.P.",328.23130819057013,0.3274701521842652,0.45738816670277826,0.6876577997456863,True
Bostwick Compound L.P.,403.1953739860073,0.001919524357857646,0.08591009138091855,0.6876577997456863,False
BPI Strategies -Vasco Da Gama Class B (USD),263.8109520366542,0.002939842190865374,0.5014661264564981,0.31485395233775604,False
BPI Strategies -Vasco Da Gama Class C (EUR),265.87127108256374,0.0015439025177403803,0.4999854354175943,0.4166079797081017,False
"Cross Shore Investors, Ltd.",442.35818058593105,0.00187900060964549,0.6116172408106995,0.5464731290798559,False
Cross Shore QP Partners L.P.,437.43579918080803,0.009885292791877724,0.8632095321210349,0.6876577997456863,False
Dorchester Capital Partners LP,358.5379734723746,0.6824501080231135,0.4581439243138685,1.0,True
"Double Eagle Capital Ace Fund, L.P. Class A",378.87939132736074,0.8341647284160024,0.5027519959111464,0.6876577997456863,True
"Double Eagle Capital Ace Fund, L.P. Class B",372.0948168052612,0.9785707094948797,0.31810015978483536,0.421355814012109,True
Edmond de Rothschild Prifund Alpha Concentrated Cl. A (EUR),325.0003471292957,0.0006044374755583249,0.2569037151566618,0.68462500549865,False
Edmond de Rothschild Prifund Alpha Concentrated Cl. A (USD),323.17433591939687,0.0010226935389662268,0.2632980503743166,0.8406846414712399,False
Edmond de Rothschild Prifund Alpha Concentrated Cl. B (EUR),326.2651084504585,0.0007955265212464584,0.34973860616451924,0.68462500549865,False
Edmond de Rothschild Prifund Alpha Concentrated Cl. B (USD),322.2235936159023,0.006921984468474207,0.8524817303524557,0.8406846414712399,False
Edmond de Rothschild Prifund Alpha Concentrated Cl. C (EUR),325.6362445014786,0.0006613957772455362,0.30249584327999446,0.8406846414712399,False
Edmond de Rothschild Prifund Alpha Diversified Cl. A (CHF),322.7368110284722,0.011445921783975122,0.9925408415961359,0.31485395233775604,False
Edmond de Rothschild Prifund Alpha Diversified Cl. A (EUR),313.884540485232,0.008749631422920467,0.999851881322067,0.421355814012109,False
Edmond de Rothschild Prifund Alpha Diversified Cl. A (USD),314.4275543712716,0.013864626093531802,0.9869005119082471,0.31485395233775604,False
Edmond de Rothschild Prifund Alpha Diversified Cl. B (CHF),315.3417115628341,0.019301988753798207,0.9935887741496782,0.421355814012109,False
Edmond de Rothschild Prifund Alpha Diversified Cl. B (EUR),313.2640860085982,0.049187047359984915,0.99928253249254,0.31485395233775604,False
Edmond de Rothschild Prifund Alpha Diversified Cl. B (USD),313.7371621327439,0.01128238137050101,0.9998283168666026,0.15939040677403393,False
Edmond de Rothschild Prifund Alpha Diversified Cl. C (CHF),322.7062220139107,0.011152784712703439,0.9908664242165474,0.31485395233775604,False
Edmond de Rothschild Prifund Alpha Property Securities A USD,364.03251163533537,0.04635037448832176,0.6813553129709743,1.0,False
Edmond de Rothschild Prifund Alpha Uncorrelated (EUR) Cl. A,265.43820867186423,0.05848705141156338,0.9859098814995886,0.15939040677403393,True
Edmond de Rothschild Prifund Alpha Uncorrelated (EUR) Cl. B,266.2121057278048,0.06865642227002824,0.9849043491757128,0.5464731290798559,True
Edmond de Rothschild Prifund Alpha Uncorrelated (USD) Cl. A,269.95849366127015,0.06003773371690775,0.9872198656654362,0.31485395233775604,True
Edmond de Rothschild Prifund Alpha Uncorrelated (USD) Cl. B,272.4419973844537,0.0572248154757772,0.993669068580935,0.5464731290798559,True
Edmond de Rothschild Prifund Alpha Volatility Cl. A (EUR),375.8863876323794,0.000642903830037874,0.8048863731208766,0.5464731290798559,False
